ID,Broker Name,Broker email,Phone,Address,city,state,notes
27,SPEED CARRIERS LLC,speedcarriersllc@yahoo.com,+1 252-752-5736,308 WINDMILL DR,WINTERVILLE,,
28,Priority 1,,,,,,
29,MALARK LOGISTICS,DCLARK@MALARK.COM,+1 763-463-1591,PO BOX 438,OSSEO,,
30,NE8 FREIGHT LLC,Bengquist@candorexp.com,+1 630-480-6798,8700 CASTNER A-29,EL PASO,,
31,AUTOMATED LOGISTICS SYSTEMS,kmagsig@automatedlogistics.com,+1 800-551-9399,3517 SCHEELE DR,JACKSON,,
32,CTSX,tracy@ctsxpress.net,+1 864-879-4443,206 RIVERSIDE CT. SUITE B,GREER,,
33,INSTICO FREIGHT MANAGEMENT INC,framirez@insticologistics.com,+1 469-293-9549,3011 GATEWAY DRIVE,RAPEVINE,,
34,VECTORS LOGISTIC INC,operations@vectorslogistics.com,+1 773-337-9979,4740 N. CUMBERLAND AVE,CHICAGO,,
35,JB HARRIS TRANSPORT LLC,CLOCKE@JBHARRISGROUP.COM,+1 770-251-8921,477 CORINTH RD,NEWNAN,,
36,AREA WIDE LOGISTICS LLC,bids@areawidelogistics.com,+1 630-539-8400,24W445 LAKE ST.,ROSELLE,,
37, SATURN FREIGHT SYSTEMS,sanusers@saturnfreight.com,+1 770-693-5750,P.O. BOX 680308,MARIETTA,,
38,ORD EXPEDITE (PETER),peter@ordexpedite.com,+1 815-733-2509,19057 S APPALOOSA LANE,SHOREWOOD,,
39, TOP WORLDWIDE,TOPsylectusbids@topworldwide.com, +1 800-987-8782,3039 AIRPARK DRIVE NORTH,FLINT,,
40,PAM TRANSPORT INC,sandc@pamt.com,+1 479-361-9111,HIGHWAY 412 WEST,TONTITOWN,,
41,MAGELLAN TRANSPORT LOGISTICS,ltlexpedite@magellanlogistics.com,+1 844-260-8315,2511 ST JOHNS BLUFF SUITE 107,JACKSONVILLE,,
42,PRECISION SPECIALIZED INC GTI GROUP,GTICINCY@TheGTIGroup.com,+1 319-254-4751,"7601 OFFICE PLAZA DRIVE N SUITE 940, Cedar Rapids, IA",BURFORD,,
43,ADINS EXPEDITING,dispatch@adinsexpediting.com,+1 586-447-7630,PO BOX 171493,CLINTON TOWNSHIP,,
44,Port X,,,,,,
45,"SUNSET TRANSPORATION, INC.",mnoel@sunsettrans.com,+1 314-756-8529,10877 WATSON ROAD,SAINT LOUIS,,
46,TOP Worldwide,TOPsylectusbids@topworldwide.com,+1 800-987-8782,3039 AIRPARK DRIVE NORTH,FLINT,,
47,SUNTECK TRANSPORT,Brode.Rozuk@suntecktransport.net,+1 704-496-9850,8720 RED OAK BLVD SUITE 510,PINEVILLE,,
48, ARROW FREIGHT SYSTEMS,sbmcglinnen@arrowfreight.net,734-283-4230,26395 Northline Commerce Dr Suite 604,Taylor,,
49,Top Shelf Expediting,,,,,,
50,ASAP EXPEDITING & LOGISTICS LLC- G & H TRANSPORT,postedloads@asapexpediting.net,+1 803-865-7971,100 COMMERCE DR. NE SUITE A,COLUMBIA,,
51, AUTOMATED LOGISTICS SYSTEMS,kmagsig@automatedlogistics.com,+1 800-551-9399,3517 SCHEELE DR,JACKSON,,
52,FAST EXACT,quotes@fastexact.com,+1 650-491-0024,274 Wattis Way,SOUTH SAN FRANCISCO,,
53,MCLEOD MARKETING LLC DBA MCLEOD EXPEDITE,dispatch@mcleodexpedite.com,+1 402-718-9360,1231 S. 119TH ST.,OMAHA,,
54,NATIONAL LOGISTICS NETWORK,derek@shipnln.com,+1 814-580-2000,8115 WATTSBURG RD,ERIE,,
55,"UNION COMPRESS WAREHOUSE OF CORDELE, INC",crobinson@ucwlogistics.com,+1 336-608-3655,503 SOUTH MIDWAY RD.,CORDELE,,
56,DIRECT DRIVE LOGISTICS,sylectus@shipddl.com,+1 414-329-6464,11122 W. ROGERS STREET,MILWAUKEE,,
57,LIPSEY TRUCKING LLC,JHouk@lipseylogistics.com,+1 423-708-7100,5600 Brainerd Rd SUITE E-2,CHATTANOOGA,,
58,GO2 EXPRESS,book@gotologistics.net,+1 630-350-1111,2233 N WEST ST,RIVER GROVE,,
59, RAVEN CARGO INC,hubert@raven-cargo.com,+1 773-694-9300,954 W Washington Blvd SUITE 200,CHICAGO,,
60,ALPHA CONNECT LLC,dispatch@promoexpressllc.com,+1 201-290-4566,429 CRESTWOOD AVENUE,HACKENSACK,,
61,ONE8 FREIGHT LLC - CANDOR,jfox@candorexp.com,+1 630-480-6798,8700 CASTNER A-29,EL PASO,,
62,Cap Logisitcs,,,,,,
63,PAR LOGISTICS,bsavio@parlogistics.net,+1 847-519-1990,1251 N. PLUM GROVE ROAD STE #120,SCHAUMBURG,,
64,Native American Logistics,reply@nalww.com,+1 248-825-4845,3039 AIRPARK DRIVE,FLINT,,
65,PRIORITY EXPEDITE (HAMPTON),hampton.hasek@priority1.com,+1 501-487-6520,51 KROOKED KREEK CIRCLE,CABOT,,
66,"DYNAMICPRO INVESTMENT, LLC",DISPATCH@DYNAMICPROFREIGHT.COM,+1 469-732-8682,2433 Lacy Lane STE 104,IRVING,,
67,Lake Shore Logistics LLS,r.waters@lakeshorelogisticsllc.com,18142477677,9251 WEST MAIN RD,NORTH EAST,,
68,INSTICO FREIGHT MANAGEMENT INC.,LGarcia@insticologistics.com,+1 469-293-9549,3011 GATEWAY DRIVE,GRAPEVINE,,
69,CREEKSIDE CARGO-Agents,cvgops@tazmanian.com,+1 216-688-1770,15416 Industrial Pkwy,Cleveland,,
70,CargoBarn Inc,maggie.foster@cargobarn.com,+1 559-272-7272,8302 Dunwoody Place #100,Atlanta,,
71,NORTH FLEET INTERNATIONAL LLC.,anaelisa.munoz@fdn.com.mx,+1 956-999-8241, 11922 CONLY ROAD,"LAREDO,",,
72,HMD TRANSPORT INC,markov@hmdtransport.com,+1 312-667-6608,10031 VIRGINIA AVE,CHICAGO RIDGE,,
73,"Swick Logistics, LLC",jacob@swicklogistics.com,+1 312-724-7179,152 ASCOT LN S #3811,WILLOWBROOK,,
76,C.A.T. Global,wlowe@catglobal.ca,,,,,
77,CIRCLE LOGISTICS,matthew.mortensen@circledelivers.com,+1 260-208-4500,4808 KROEMER RD SUITE 201,FORT WAYNE,,
78,"POWER GENERATION TRANSPORT, INC",gwenevere@radiantlightlogistics.com,+1 678-524-2271,286 W RANCHETTE RD,TEMPLE,,
79,CAP logistics ,jackd@caplogistics.com,+1 303-394-6074,4120 JACKSON ST,DENVER,,
80,FASTMORE LOGISTICS,thomas.grieger@fastmore.com,+1 847-290-0095,1500 McConnor Parkway Suite 450,ELK GROVE VILLAGE,,
81,ENVOY LOGISTICS,kedwards@envoylogistics.net,+1 920-267-8709,2931 UNIVERSAL STREET,OSHKOSH,,
82,"CTSH LLC, DBA CTS Xpress, LLC",sydney@ctsxpress.net,864-879-4443,206 Riverside Ct Suite B,Greer,,
83,AMERICAN FREIGHTWAYS LP,kdehn@afwy.net,+1 858-217-3300,10845 RANCHO BERNARDO RD STE 100,SAN DIEGO,,
84,"Platinum Cargo Logistics, Inc.",jeremy.hodal@platinumcargo.com,+1 847-741-2340,1760 BRITANNIA DRIVE,ELGIN,,
85,LOYAL EXPRESS LLC,QUOTE@SHIPLOYAL.COM,+1 702-518-8214,4730 S. FORT APACHE RD SUITE 300,LAS VEGAS,,
86,JUNG EXPRESS,quotes@jungexpress.com,,201 WEST AIR CARGO WAY,"MILWAUKEE,",,
87,REDLINE TRUCKING INC,dispatch@shipredline.com,+1 330-461-6900,2589 CENTER RD,HINCKLEY,,
88,CELO TRANSPORT LLC,Zgougler@celologistics.com,+1 479-750-8603,330 ALBANO DR,SPRINGDALE,,
89,USKO EXPEDITE INC,lkozyriev@uskoinc.com,+1 916-233-4455,11290 POINT EAST DR STE 110,RANCHO CORDOVA,,
90,Atlantic pacific express,,,,,,
91,REVOLUTION TRUCKING LLC-REVOLUTION TRANSPORTATION LLC,bmcpeek@revolutiontrucking.com,+1 330-975-4145,257 MAIN STREET SUITE 103,WADSWORTH,,
92,BUSINESS TO BUSINESS LOGISTICS LLC,dhudson@shipbtb.com,-4051,901 N BATAVIA AVE SUITE 342,BATAVIA,,
93,AGX FREIGHT CARRIERS,KENNY.MILTON@AGXFREIGHT.COM,+1 904-222-0400,1764 MARCO BEACH DRIVE SUITE 10,JACKSONVILLE,,
94,Katarzyna Janiak,kjaniak@gopfc.com,630.448.4242,/,/,,
99,PRECISION FREIGHT,kjaniak@gopfc.com,+1 630448 4242,/,Itsaca,,
100,Premium Logistics Services LLC,,+1 720-676-6741,820 S Monaco Pkwy Unit 360,DENVER,,
101,"ABF LOGISTICS, INC.",carriersalesunpro@arcb.com,+1 877-279-8144,8401 MCCLURE DRIVE,FORT SMITH,,
102,CITADEL CARTAGE LLC,marisolv@caplogistics.com,+1 303-394-6074,4120 JACKSON ST,DENVER,,
103,SAFE EXPRESS LLC,bids@safeexpress1.com,+1 814-315-6495,261 E 28TH STREET,ERIE,,
104, MAGELLAN TRANSPORT LOGISTICS,txexpedite@magellanlogistics.com,+1 844-260-8315,2511 ST JOHNS BLUFF SUITE 107,JACKSONVILLE,,
105,JOVIC INC,T2EBID@gopfc.com,+1 630-448-4242,Carol Stream,"Carol Stream, IL",,
106,VIRNICH CORPORATION,HOTSHOTS@VIRNCORP.COM,+1 844-847-6424,1879 N. NELTNOR BLVD #184,WEST CHICAGO,,
107,EXEL INC,nick.haberski@dhl.com,+1 614-865-8294,570 POLARIS PARKWAY,WESTERVILLE,,
108,EXPEDITUS TRANSPORT LLC,broker@etships.com,+1 419-464-9450,6600 SYLVANIA AVE SUITE 220,SYLVANIA,,
109,Eric Kramer,EKramer@tql.com,800-580-3101 (x58642),/,/,,
110,TOTAL QUALITY LOGISTICS,EKramer@tql.com,800-580-3101 (x58642),/,/,,
111,"STRYKER LOGISTICS, LLC",OPS@STRYKERLOGISTICS.COM,+1 270-594-4149,308 DISHMAN LANE,BOWLING GREEN,,
112,"SOLID TRANSPORT, LLC",Operations@solid-logistics.net,+1 660-619-4084,1821 E 16th st,SEDALIA,,
113,"CS-1 TRANSPORTATION, INC",customerservice@shipcs1.com,+1 905-829-2255,"5006 SOUTH SERVICE RD, UNIT 2 BURLINGTON, ONT. L7L 5Y7",OAKVILLE,,
114,ORD EXPEDITE,emanuela@ordexpedite.com,+1 815-733-2509,19057 S APPALOOSA LANE,SHOREWOOD,,
115,Tiger Critical,kevin@tigercritical.com,844-844-3739,/,/,,
116,WESTERN TRUCKING INC,rkirstia@wtload.com,+1 413-931-3130,"PO BOX 1277 WEST SPRINGFIELD, MA 01090",WEST SPRINGFIELD,,
117,GO TO LOGISTICS INC,book@gotologistics.net,+1 630-350-1111,2233 N WEST ST,RIVER GROVE,,
118,SOLID LOGISTICS ,,660-619-4084,"1821 E. 16th St. Sedalia, MO 65301",.,,
119,FLETES EXPRESS DEL NORTE SA DE CV,anaelisa.munoz@fdn.com.mx,+1 956-307-4144,11922 CONLY ROAD,LAREDO,,
120,"RJ Logistics, LLC ",sshoemaker@rjlogistics.com,+1 586-731-3401,51300 Danview Technology Ct,Utica,,
121,Transgroup Express LLC,MMill@scangl.com,,/,/,,
122,Goto logistics,rebecca@gotologistics.net,630-350-1111,/,/,,
123,AR MANAGEMENT LLC,tracking.ar@gmail.com,610-471-0660,356 SPRINGFIELD WAY,EASTON,,
124,EXCEL EXPEDITED LOGISTICS,,+1 424-407-1005,3686 Barham Blvd #H311,LOS ANGELES,,
125,ANDREYS DELIVERY EXPRESS LLC,Dispatch.seattlecargo@gmail.com,+1 206-356-6217,6962 S 220TH ST,KENT,,
126,APOLLO EXPRESS INC,diane@apollo-express.com,+1 314-344-0333,170 CORPORATE WOODS COURT,BRIDGETON,,
127,"Trinity Logistics, Inc.",candous.parket@trinitylogistics.com,(302) 253-0207 ,P.O. BOX 1620,Seaford,,
128,TA SERVICES,EXPEDITE@TASERVICES.COM,+1 463-777-5540,241 REGENCY PKWY,MANSFIELD,,
129,PRIORITY EXPEDITE,quotes@priority1inc.com,+1 501-487-6520,51 KROOKED KREEK CIRCLE,CABOT,,
130,"R&R Express, Inc.",austin.fisher@shiprrexp.com,4127712196,100 COMMERCE DRIVE ,PITTSBURGH,,
131,SOUTHERN REINS LOGISTICS LL,a.keith@southernreins.com,(706) 537-2488,14970 S. THOMPSON ROAD,MILTON,,
132,PORT X LOGISTICS LLC,scanahai@portxlogistics.com,+1 716-216-5032,3150 HILLTOP MALL RD SUITE 1,SAN PABLO,,
133,C.A.T. Global Inc. Load,basher@catglobal.ca,(888) 520-6767,/,/,,
134,KELLY EXPRESS & LOGISTICS,dispatch@kellyexpresslogistics.com,+1 734-335-7439,550 FOREST AVENUE SUITE 16-2,PLYMOUTH,,
135,"ATL TRANSPORTATION, LLC",sylectus@myatl.net,+1 888-258-4088,3536 ABBEVILLE HWY,ANDERSON,,
136,AIR WING EXPRESS,orders@airwingexpress.com,3128000085 x259,/,/,,
137,ELDON FREIGHTWAYS INC,stlgtdlogistics@allstates-worldcargo.com,+1 573-392-3717,604 INDUSTRIAL DRIVE,ELDON,,
138,GRAND AIRE INC.,cbaumbarger@grandaire.com,+1 800-704-7263,11777 WEST AIRPORT ROAD,SWANTON,,
139,T Lines Express,,630-323-7565,7545 S Madison St,Burr Ridge,,
140,MTC TRANSPORTATION INC,JADAMS.ATL@AIRGROUP.COM,+1 404-941-1603,"4605 COATES DRIVE, STE B SUITE B",FAIRBURN,,
141,ATLFREIGHT.COM,larry.peak@platinumcargo.com,+1 404-214-0488,5192 SOUTHRIDGE PARKWAY STE 100,ATLANTA,,
142,RANCAS FREIGHT SYSTEMS,anthony@rancasfreight.com,+1 713-645-2292,15355 VANTAGE PKWY W SUITE 130,HOUSTON,,
143,MCCLAY TRANSPORTATION USA LLC,jordan@mcclaysusa.com,+1 810-533-8989,39377 NAUTICAL LANE,HARRISON TOWNSHIP,,
144,"POWER GENERATION TRANSPORT, INC. DBA RADIANT",, 678-952-6135,LIGHT PO BOX 298,Villa Rica,,
145,Port City Logistics,Ashley.lusk@portcitylogistics.com,(912)228 - 4194,/,/,,
146,Kenco Transportation Management LLC,Alex.Leuthauser@kencogroup.com,/,/,/,,
147,Jacksonville Freight solutions ,jFS@jacksonvillefsolutions.com,7865509882,,,,
148,AXIS WORLDWIDE SUPPLY CHAIN & LOGISTICS,KATHY@AXISWWSC.COM,+1 636-787-0000,100 CHESTERFIELD PKWY SUITE 120,CHESTERFIELD,,
149,MT PLEASANT EXPRESS BROKERAGE LLC,ftl@mpexpressbrokerage.com,,,,,
150,WESTERN FLYER INC,oboccarossa@wfxlogistics.com,+1 405-495-1985,5220 SW 11TH ST,OKLAHOMA CITY,,
151,"CREEKSIDE CARGO, INC",,+1 216-688-1770,"CREEKSIDE CARGO, INC",CLEVELAND,,
152,Landstar ,,,,,,
153,RAPID TRANSPORT SERVICES,max@rapid-transport.com,/,/,/,,
154,"QLI BROKERAGE, LLC",, 864-879-7770,2131 WOODRUFF ROAD SUITE 2100-35,"GREENVILLE,",,
155,GROUND FREIGHT SOLUTIONS LLC,,+1 888-724-8789,105 E JEFFERSON BLVD,SOUTH BEND,,
156,STORM LOGISTICS,paul@storm-logistics.com,,,,,
157,Dynamic Freight ,,4697328682,1220 W. Trinity Mills Rd Suite 340,Carrollton,,
158,Air ways freight ,,800-643-3525,,,,
159,UCW Logistics llc,,,,,,
160,Expedited Brokerage/1st48 Expeditors LLC,andonroberson5959@gmail.com,,/,/,,
161,"R & R EXPRESS LOGISTICS, INC.",kmansour@shiprrexp.com,/,/,/,,
162,"ON-TIME EXPRESS & LOGISTICS, INC.",,,,,,
163,ACCURATE TRANSPORT,,,,,,
164,TOP SHELF TRANSPORTATIOn LLC,,,,,,
165,alix,grgrggr@gmail.com,efrfergfrgg,,,,
